Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Ganga Tera Pani Amrit,None,,Drama,4.9,1971,Virendra Sinha,"Navin Nischol, Yogeeta Bali, Nirupa Roy, Pandari Bai",,13
Shejari,None,134,Drama,8.6,1941,Shantaram Rajaram Vankudre,"Balakram, Master Chhotu, Keshavrao Date, Sumitra Devi",,37
Hawas Ke Pujaari,None,,Thriller,,1990,,"Anu, Kunchan, Sudesh",,
Khote Sikkey,None,210,Crime,5.3,1998,Partho Ghosh,"Ayub Khan, Madhoo, Atul Agnihotri, Anjali Jathar",,21
Linger,None,15,"Short, Drama",7.3,2010,Shikha Makan,"Kunal Kapoor, Dilshad Patel",,11
Hum Panchhi Ek Daal Ke,None,,Drama,7.4,1957,P.L. Santoshi,"Master Romi, Satish Vyas, Daisy Irani, Murad",,14
Mamla Garbar Hai,None,,"Comedy, Musical",7.7,1983,Hari Dutt,"Daljeet Kaur Khangura, Gurdas Maan, Mehar Mittal, Rammohan Sharma",,35
Kaliyoonjal,None,153,Drama,6.2,1997,"Anil, 
Babu Pisharadi","Mala Aravindan, Dileep, Meena Ganesh, Lakshmi",,152
Cheekh... Ek Khauffnaak Sach,None,,Horror,,2017,,"Ujjwal, Abudhar Al Hassan, Rahul Ram Manchanda",,
MLA Darji,None,143,None,,2021,Dheeru Yadav,"Mahesh Acharya, Mani Bhattacharya, Ritesh Pandey, Sanjay Pandey",,
Villathi villain,None,127,None,6.0,1995,Sudharshan Lal,"Bobby Bedi, Sathyaraj",,43
Ezhumin,None,110,Action,6.7,2018,V.P. Viji,"Devayani, Vivek",,55
Nariman,None,,"Action, Crime, Drama",5.3,2001,K. Madhu,"Suresh Gopi, Siddique, Jagadish, Jagathi Sreekumar",,193
Yaarukku Theriyum,None,,Drama,,2012,Ganesan Kamaraj,"Achyuth Kumar, Kalabhavan Mani, Venniradai Moorthy, Sanjana Singh",,
Baghban,None,159,Drama,8.1,1938,Abdul Rashid Kardar,"Bimla Kumari, B. Nandrekar, Sitara Devi, Yasmin",,9
Om Namah Shivaya,None,,Drama,8.7,1999,,"Sai Kumar, Shobharaj, Preetha Vijaykumar",,14
Red Light,None,,Drama,,2006,Suresh Jain,"Gulshan, Tanveer, Kanchan, Reena",,
Motu Patlu & Robo Kids,None,,"Animation, Action, Comedy",,2019,,Suhas Kadav,,
